Date,Week,Temperature(C),Humidity(%),LightLevel(lux),Vine1_Length(m),Vine2_Length(m),Vine3_Length(m),Vine4_Length(m),Vine1_Leaves,Vine2_Leaves,Vine3_Leaves,Vine4_Leaves
13/08/2022,33,24.3,72.7,28093,3.76,3.6,3.4,3.77,45,44,48,46
20/08/2022,34,23.1,75.6,30003,3.87,3.64,3.49,3.84,47,44,48,48
27/08/2022,35,22.7,71.5,30143,3.95,3.75,3.6,4.01,47,45,50,48
03/09/2022,36,24.6,70.3,31158,4.01,3.91,3.66,4.09,49,47,52,51
10/09/2022,37,23.2,71.2,28337,4.21,4.02,3.77,4.15,52,48,54,51
17/09/2022,38,23.7,79.1,34862,4.17,4.08,3.69,4.38,52,48,54,53
24/09/2022,39,25.1,79.6,32463,4.31,4.11,3.83,4.37,53,50,56,54
01/10/2022,40,23.4,81.8,25347,4.33,4.22,3.91,4.5,55,52,57,55
08/10/2022,41,22.9,80.3,29989,4.43,4.34,4.13,4.64,56,53,58,56
15/10/2022,42,22.8,75.8,28317,4.71,4.34,4.07,4.78,57,54,59,58
22/10/2022,43,22.8,75.7,26178,4.7,4.48,4.15,4.92,59,54,61,58
29/10/2022,44,23.9,76.7,29150,4.88,4.58,4.36,5.04,61,56,62,59
05/11/2022,45,23.5,76.5,25427,5.01,4.79,4.43,5.03,60,57,65,62
12/11/2022,46,24.8,81.1,27116,5.07,4.9,4.56,5.13,62,58,64,62
19/11/2022,47,25.1,79.1,29371,5.05,4.88,4.54,5.18,65,60,66,64
26/11/2022,48,23.7,76.1,27246,5.24,4.98,4.68,5.42,65,60,67,65
03/12/2022,49,22.6,77.4,28562,5.42,5.11,4.76,5.55,67,62,70,65
10/12/2022,50,25,81.9,27596,5.49,5.17,4.73,5.56,67,62,69,67
17/12/2022,51,24.4,84.6,29525,5.51,5.36,4.95,5.63,70,64,72,68
24/12/2022,52,25.4,78.4,27391,5.57,5.28,4.98,5.87,70,65,72,71
31/12/2022,53,23.7,78.1,27199,5.71,5.42,5.01,5.94,72,66,75,71
07/01/2023,54,23.5,78.1,28917,5.78,5.62,5.14,5.97,73,68,76,73
14/01/2023,55,25,71.7,29065,5.85,5.55,5.28,6.14,75,68,78,74
21/01/2023,56,23.4,71.4,29049,6.01,5.83,5.31,6.26,76,70,78,74
28/01/2023,57,24.9,78,30182,6.05,5.88,5.4,6.33,76,71,80,77
04/02/2023,58,24.4,70.3,33183,6.26,5.91,5.52,6.48,79,72,80,77
11/02/2023,59,23.5,79.9,34513,6.36,5.94,5.63,6.57,80,73,82,78
18/02/2023,60,24.7,77.5,33985,6.36,6.05,5.58,6.59,80,76,84,79
25/02/2023,61,22.9,76.4,31566,6.56,6.17,5.82,6.78,82,76,85,81
04/03/2023,62,25.7,72.6,34617,6.59,6.28,5.77,6.83,82,78,87,83
11/03/2023,63,26.2,78.1,29921,6.76,6.3,5.88,6.97,84,79,88,83
18/03/2023,64,25,76.6,32388,6.8,6.4,6,7.04,86,81,90,84
25/03/2023,65,24.5,70.6,31766,6.98,6.47,6.11,7.03,86,81,91,86
01/04/2023,66,26.3,75.3,32291,7.03,6.64,6.13,7.14,89,82,93,87
08/04/2023,67,24.6,79.9,34802,7.15,6.7,6.19,7.21,89,84,93,89
15/04/2023,68,24.7,71.3,32187,7.23,6.91,6.29,7.47,91,85,95,90
22/04/2023,69,24.9,75,29870,7.36,6.88,6.47,7.54,92,86,96,91
29/04/2023,70,26.3,79.6,33643,7.41,7.07,6.46,7.69,93,87,97,93
06/05/2023,71,23.3,72.6,32933,7.47,7.19,6.54,7.77,94,88,99,93
13/05/2023,72,23,72.6,30748,7.6,7.19,6.69,7.81,95,90,100,93
20/05/2023,73,23.6,77.9,29241,7.66,7.3,6.74,7.93,98,91,102,95
27/05/2023,74,23.8,72.9,29413,7.86,7.35,6.94,8.11,99,91,103,97
03/06/2023,75,24.4,72.8,29316,7.9,7.59,6.93,8.21,101,92,104,99
10/06/2023,76,24.2,77.4,32660,8.06,7.5,6.99,8.13,102,93,106,100
17/06/2023,77,23.6,74.9,32912,8.07,7.61,7.06,8.26,103,95,107,101
24/06/2023,78,22.9,73.5,32441,8.31,7.87,7.25,8.35,104,96,109,101
01/07/2023,79,22.9,76.6,33833,8.43,7.86,7.38,8.58,105,98,109,104
08/07/2023,80,25.4,74.9,29105,8.37,7.87,7.46,8.63,107,99,111,104
15/07/2023,81,24.7,70.3,32970,8.59,8.02,7.45,8.73,109,101,113,106
22/07/2023,82,23.8,74.8,29363,8.57,8.17,7.57,8.84,110,101,113,107
29/07/2023,83,23.5,78.2,34440,8.75,8.28,7.72,8.93,110,102,116,108
05/08/2023,84,25.4,76,32217,8.91,8.27,7.74,8.94,112,103,116,110
12/08/2023,85,24,76.5,28194,8.89,8.46,7.84,9.17,113,104,118,110
19/08/2023,86,25.1,71.6,34839,8.95,8.6,7.83,9.19,114,105,119,111
26/08/2023,87,22.7,71.5,32408,9.25,8.63,7.95,9.33,116,108,120,113
02/09/2023,88,25.3,76.4,30515,9.19,8.64,8.14,9.39,116,108,122,114
09/09/2023,89,24.9,74.8,29165,9.39,8.76,8.07,9.56,118,108,124,115
16/09/2023,90,22.8,73,34361,9.44,8.81,8.22,9.66,119,110,124,117
23/09/2023,91,23.5,78.4,31016,9.62,9.06,8.31,9.66,121,112,126,118
30/09/2023,92,22.8,77.2,30064,9.67,9.1,8.46,9.83,123,113,127,118
07/10/2023,93,24.4,79.2,26601,9.85,9.15,8.57,9.9,123,114,128,121
14/10/2023,94,23.3,84.7,28563,9.92,9.18,8.59,10.05,125,115,131,122
21/10/2023,95,23.8,80.5,25879,9.96,9.3,8.67,10.09,126,117,132,123
28/10/2023,96,24.6,80.4,27679,10.09,9.38,8.82,10.26,128,118,133,124
04/11/2023,97,25,78.1,28020,10.19,9.6,8.85,10.43,128,118,133,125
11/11/2023,98,24.9,83.4,29135,10.21,9.65,8.86,10.47,131,121,136,127
18/11/2023,99,25,76.1,29131,10.26,9.65,9.08,10.51,132,121,136,128
25/11/2023,100,23.5,79,29904,10.55,9.75,9.14,10.65,132,123,139,129
02/12/2023,101,24.8,81.5,27146,10.49,9.82,9.07,10.86,133,123,140,130
09/12/2023,102,22.6,77.3,27442,10.57,10.07,9.19,10.94,136,126,140,132
16/12/2023,103,25.3,78.2,29964,10.71,10.02,9.29,11.03,136,126,142,132
23/12/2023,104,23.7,81.9,27266,10.79,10.25,9.5,11.04,139,127,144,133
30/12/2023,105,25.4,83.7,29423,10.94,10.29,9.44,11.25,139,129,145,134
06/01/2024,106,22.7,77.7,28227,11.07,10.31,9.62,11.22,140,129,146,136
13/01/2024,107,23,72.5,31317,11.08,10.56,9.59,11.41,142,131,147,138
20/01/2024,108,24.8,77.2,33703,11.36,10.62,9.82,11.55,143,132,149,139
27/01/2024,109,24.8,78,30134,11.28,10.64,9.81,11.57,144,133,151,139
03/02/2024,110,23.5,70.5,29734,11.5,10.7,10,11.66,146,135,151,140
10/02/2024,111,23.8,77.9,32927,11.58,10.92,9.95,11.76,147,136,152,142
17/02/2024,112,25.2,72.5,30855,11.67,10.98,10.11,11.91,148,136,155,143
24/02/2024,113,23.3,78,28101,11.82,11.04,10.12,12.05,149,137,156,145
02/03/2024,114,25.9,74.2,30463,11.91,11.17,10.26,12.14,150,139,158,147
09/03/2024,115,25.1,75.3,29349,11.94,11.12,10.29,12.21,151,139,157,148
16/03/2024,116,24.7,72.5,34341,12.09,11.22,10.49,12.26,153,142,159,149
23/03/2024,117,25.9,74,33978,12.11,11.38,10.51,12.37,155,143,162,150
30/03/2024,118,26.4,70.8,30132,12.22,11.41,10.68,12.42,155,144,163,151
06/04/2024,119,26.3,78.1,34721,12.31,11.67,10.8,12.58,158,145,164,153
13/04/2024,120,26.4,74.7,30994,12.48,11.62,10.86,12.63,159,145,165,154
20/04/2024,121,24.7,71,29927,12.59,11.73,10.82,12.9,160,147,167,155
27/04/2024,122,26.2,72.8,32521,12.58,11.78,10.92,12.96,162,149,168,155
04/05/2024,123,23.6,77.7,31123,12.8,11.99,11,13.09,163,150,169,158
11/05/2024,124,24.7,77,33537,12.89,12.11,11.17,13.18,163,150,170,159
18/05/2024,125,23.7,74.6,32918,13.03,12.16,11.2,13.27,164,152,172,159
25/05/2024,126,22.9,78.2,32109,13.02,12.22,11.36,13.26,166,152,174,161
01/06/2024,127,25.2,70.1,28785,13.26,12.26,11.3,13.35,168,155,174,162
08/06/2024,128,25.2,70.9,30672,13.19,12.45,11.52,13.53,169,155,176,163
15/06/2024,129,24.1,73.5,28897,13.32,12.42,11.62,13.58,171,156,177,164
22/06/2024,130,24.1,77.4,28751,13.57,12.55,11.6,13.67,172,159,178,166
29/06/2024,131,24.6,75.2,32099,13.64,12.6,11.67,13.77,173,159,181,167
